identifiant;Prénom;Nom;Région;Département;Numéro de circonscription;Profession;Groupe politique (complet);Groupe politique (abrégé)
794570;Alexandre;Sabatou;Hauts-de-France;Oise;3;Chef de projets SI;Rassemblement National;RN
642695;Éric;Bothorel;Bretagne;Côtes-d'Armor;5;Cadre supérieur (secteur privé);Renaissance;RE
722134;Jean-Marie;Fiévet;Nouvelle-Aquitaine;Deux-Sèvres;3;Fonctionnaire de catégorie B;Renaissance;RE
333285;Guillaume;Garot;Pays de la Loire;Mayenne;1;Cadre administratif;Socialistes et apparentés;SOC
719632;Sophie;Panonacle;Nouvelle-Aquitaine;Gironde;8;Sans profession déclarée;Renaissance;RE
794670;Caroline;Parmentier;Hauts-de-France;Pas-de-Calais;9;Attachée de Presse;Rassemblement National;RN
266793;Jean-Yves;Bony;Auvergne-Rhône-Alpes;Cantal;2;Exploitant agricole;Les Républicains;LR
267901;Mansour;Kamardine;Mayotte;Mayotte;2;Avocat;Les Républicains;LR
794994;Alexandre;Portier;Auvergne-Rhône-Alpes;Rhône;9;Professeur, profession scientifique;Les Républicains;LR
719488;Philippe;Berta;Occitanie;Gard;6;Professeur de faculté;Démocrate (MoDem et Indépendants);Dem
607395;Stéphane;Travert;Normandie;Manche;3;Cadre secteur privé;Renaissance;RE
722374;Cyrille;Isaac-Sibille;Auvergne-Rhône-Alpes;Rhône;12;Médecin;Démocrate (MoDem et Indépendants);Dem
793656;Lisette;Pollet;Auvergne-Rhône-Alpes;Drôme;2;Ouvrier qualifié de type industriel;Rassemblement National;RN
330357;Olivier;Dussopt;Auvergne-Rhône-Alpes;Ardèche;2;Assistant parlementaire;Renaissance;RE
795884;Marc;Ferracci;Français établis hors de France;Français établis hors de France;6;Professeur, profession scientifique;Renaissance;RE
794798;Françoise;Buffet;Grand Est;Bas-Rhin;4;Ancien artisan, commerçant, chef d'entreprise;Renaissance;RE
720992;Jiovanny;William;Martinique;Martinique;1;Profession libérale;Gauche démocrate et républicaine - NUPES;GDR - NUPES
794510;Christine;Decodts;Hauts-de-France;Nord;13;Ancien cadre;Renaissance;RE
796106;Édouard;Bénard;Normandie;Seine-Maritime;3;Collaborateur d'élu;Gauche démocrate et républicaine - NUPES;GDR - NUPES
720586;Pierre;Vatin;Hauts-de-France;Oise;5;Permanent politique;Les Républicains;LR
719138;Michel;Castellani;Corse;Haute-Corse;1;Professeur des Universités;Libertés, Indépendants, Outre-mer et Territoires;LIOT
817211;René;Pilato;Nouvelle-Aquitaine;Charente;1;Enseignant;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
720560;Perrine;Goulet;Bourgogne-Franche-Comté;Nièvre;1;Autre cadre (secteur privé);Démocrate (MoDem et Indépendants);Dem
795616;Carlos Martens;Bilongo;Ile-de-France;Val-d'Oise;8;Professeur, profession scientifique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
720092;Richard;Ramos;Centre-Val de Loire;Loiret;6;Autre cadre (secteur privé);Démocrate (MoDem et Indépendants);Dem
793290;Gisèle;Lelouis;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;3;Ancien employé ;Rassemblement National;RN
721486;Christophe;Naegelen;Grand Est;Vosges;3;Industriel-Chef d'entreprise;Libertés, Indépendants, Outre-mer et Territoires;LIOT
794854;Inaki;Echaniz;Nouvelle-Aquitaine;Pyrénées-Atlantiques;4;Cadre de la fonction publique;Socialistes et apparentés;SOC
719294;Mireille;Clapot;Auvergne-Rhône-Alpes;Drôme;1;Cadre supérieur (entreprises publiques);Renaissance;RE
795820;Marcellin;Nadeau;Martinique;Martinique;2;Cadre de la fonction publique;Gauche démocrate et républicaine - NUPES;GDR - NUPES
794166;Matthias;Tavel;Pays de la Loire;Loire-Atlantique;8;Cadre de la fonction publique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
719080;Sandra;Marsaud;Nouvelle-Aquitaine;Charente;2;Cadre (entreprises publiques);Renaissance;RE
721896;Elsa;Faucillon;Ile-de-France;Hauts-de-Seine;1;Employée du secteur privé;Gauche démocrate et républicaine - NUPES;GDR - NUPES
267042;Yannick;Favennec-Bécot;Pays de la Loire;Mayenne;3;Directeur de cabinet;Libertés, Indépendants, Outre-mer et Territoires;LIOT
795298;Jérôme;Legavre;Ile-de-France;Seine-Saint-Denis;12;Professeur de lettres;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
720614;Marine;Le Pen;Hauts-de-France;Pas-de-Calais;11;Avocate;Rassemblement National;RN
793432;Franck;Allisio;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;12;Profession libérale;Rassemblement National;RN
720354;Jean-Michel;Jacques;Bretagne;Morbihan;6;Infirmier des forces spéciales;Renaissance;RE
718930;Anne-Laurence;Petel;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;14;Chargée des relations extérieures - secteur télécom;Renaissance;RE
720908;Naïma;Moutchou;Ile-de-France;Val-d'Oise;4;Avocat;Horizons et apparentés;HOR
794278;Xavier;Albertini;Grand Est;Marne;1;Profession libérale;Horizons et apparentés;HOR
719318;Emmanuelle;Anthoine;Auvergne-Rhône-Alpes;Drôme;4;Avocate;Les Républicains;LR
720170;Carole;Grandjean;Grand Est;Meurthe-et-Moselle;1;Cadre supérieur (secteur privé);Renaissance;RE
793218;Jordan;Guitton;Grand Est;Aube;1;Assistant Parlementaire;Rassemblement National;RN
794810;Louise;Morel;Grand Est;Bas-Rhin;6;Cadre administratif et commercial d'entreprise;Démocrate (MoDem et Indépendants);Dem
266788;Pierre;Morel-À-L'Huissier;Occitanie;Lozère;1;Avocat;Libertés, Indépendants, Outre-mer et Territoires;LIOT
605069;Jean-Louis;Bricout;Hauts-de-France;Aisne;3;Cadre (secteur privé);Libertés, Indépendants, Outre-mer et Territoires;LIOT
794522;Pierrick;Berteloot;Hauts-de-France;Nord;15;Assistant Maitre d'Équipage - Assistant Toutes Catégories;Rassemblement National;RN
795374;Pascal;Lecamp;Nouvelle-Aquitaine;Vienne;3;Cadre administratif et commercial d'entreprise;Démocrate (MoDem et Indépendants);Dem
794106;Andrée;Taurinya;Auvergne-Rhône-Alpes;Loire;2;Professeur, profession scientifique ;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
817203;Laure;Miller;Grand Est;Marne;2;Avocate;Renaissance;RE
720630;Maxime;Minot;Hauts-de-France;Oise;7;Employé (secteur privé);Les Républicains;LR
719154;Didier;Martin;Bourgogne-Franche-Comté;Côte-d'Or;1;Neuroradiologue;Renaissance;RE
1567;Jérôme;Guedj;Ile-de-France;Essonne;6;Inspecteur général des Affaires sociales;Socialistes et apparentés;SOC
720422;Adrien;Quatennens;Hauts-de-France;Nord;1;Employé (secteur privé);La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
719914;Geneviève;Darrieussecq;Nouvelle-Aquitaine;Landes;1;Médecin;Démocrate (MoDem et Indépendants);Dem
721916;Natalia;Pouzyreff;Ile-de-France;Yvelines;6;Ingénieure;Renaissance;RE
720014;Huguette;Tiegna;Occitanie;Lot;2;Docteur, Ingénieur Recherche et Dévelopement;Renaissance;RE
793928;Edwige;Diaz;Nouvelle-Aquitaine;Gironde;11;Cadre administratif et commercial d'entreprise;Rassemblement National;RN
793306;Philippe;Pradal;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;3;Expert comptable;Horizons et apparentés;HOR
736201;Sophie;Taillé-Polian;Ile-de-France;Val-de-Marne;11;Cadre de la fonction publique;Écologiste - NUPES;Ecolo - NUPES
1630;Michel;Herbillon;Ile-de-France;Val-de-Marne;8;Cadre supérieur;Les Républicains;LR
794178;Jean-Pierre;Taite;Auvergne-Rhône-Alpes;Loire;6;Ancien artisan, commerçant, chef d'entreprise;Les Républicains;LR
793110;Léo;Walter;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;2;Directeur d'école;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795762;Elie;Califer;Guadeloupe;Guadeloupe;4;Ancien cadre;Socialistes et apparentés;SOC
795310;Clémence;Guetté;Ile-de-France;Val-de-Marne;2;Responsable du programme LFI;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
794686;Marianne;Maximi;Auvergne-Rhône-Alpes;Puy-de-Dôme;1;Profession intermédiaire de la santé et du travail social;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795244;Stéphane;Lenormand;Saint-Pierre-et-Miquelon;Saint-Pierre-et-Miquelon;1;Ancien cadre;Libertés, Indépendants, Outre-mer et Territoires;LIOT
719822;Sabine;Thillaye;Centre-Val de Loire;Indre-et-Loire;5;Ancien Chef d'entreprise;Démocrate (MoDem et Indépendants);Dem
793382;Emmanuel;Taché de la Pagerie;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;16;Cadre de la fonction publique;Rassemblement National;RN
721844;Béatrice;Piron;Ile-de-France;Yvelines;3;Chef d'entreprise;Renaissance;RE
720222;Éric;Girardin;Grand Est;Marne;3;Industriel-Chef d'entreprise;Renaissance;RE
267318;Jean-Carles;Grelier;Pays de la Loire;Sarthe;5;Avocat;Renaissance;RE
793230;Angélique;Ranc;Grand Est;Aube;3;Sans activité professionnelle;Rassemblement National;RN
344201;Bertrand;Petit;Hauts-de-France;Pas-de-Calais;8;Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité;Socialistes et apparentés;SOC
643175;Stella;Dupont;Pays de la Loire;Maine-et-Loire;2;Comptable;Renaissance;RE
719404;Didier;Le Gac;Bretagne;Finistère;3;Profession rattachée à l'enseignement;Renaissance;RE
793166;Jocelyn;Dessigny;Hauts-de-France;Aisne;5;Cadre administratif et commercial d'entreprise;Rassemblement National;RN
791824;Sarah;Legrain;Ile-de-France;Paris;16;Professeure de français;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795386;Mathieu;Lefèvre;Ile-de-France;Val-de-Marne;5;Cadre de la fonction publique;Renaissance;RE
794058;Justine;Gruet;Bourgogne-Franche-Comté;Jura;3;Masseur Kinésithérapeute;Les Républicains;LR
795184;Tematai;Le Gayic;Polynésie française;Polynésie Française;1;étudiant;Gauche démocrate et républicaine - NUPES;GDR - NUPES
793322;Christelle;D'Intorni;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;5;Avocate;Les Républicains;LR
722038;Damien;Adam;Normandie;Seine-Maritime;1;Cadre supérieur (secteur privé);Renaissance;RE
607090;Jean-Pierre;Vigier;Auvergne-Rhône-Alpes;Haute-Loire;2;Fonctionnaire de catégorie A;Les Républicains;LR
722284;Bruno;Fuchs;Grand Est;Haut-Rhin;6;Chef d'entreprise;Démocrate (MoDem et Indépendants);Dem
793744;Anne;Stambach-Terrenoir;Occitanie;Haute-Garonne;2;Sans profession déclarée;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
267336;Joël;Giraud;Provence-Alpes-Côte d'Azur;Hautes-Alpes;2;Administrateur civil hors-classe;Renaissance;RE
795258;Frantz;Gumbs;Saint-Barthélemy et Saint-Martin;Saint-Barthélemy et Saint-Martin;1;Personnel de direction de l'éducation nationale;Démocrate (MoDem et Indépendants);Dem
794008;Cyrielle;Chatelain;Auvergne-Rhône-Alpes;Isère;2;Cadre de la fonction publique;Écologiste - NUPES;Ecolo - NUPES
266808;Vincent;Rolland;Auvergne-Rhône-Alpes;Savoie;2;Collaborateur parlementaire;Les Républicains;LR
795058;Julien;Bayou;Ile-de-France;Paris;5;Avocat;Écologiste - NUPES;Ecolo - NUPES
719338;Graziella;Melchior;Bretagne;Finistère;5;Professeure agrégée;Renaissance;RE
793182;Jorys;Bovet;Auvergne-Rhône-Alpes;Allier;2;Chauffeur-livreur;Rassemblement National;RN
796026;Julie;Lechanteux;Provence-Alpes-Côte d'Azur;Var;5;;Rassemblement National;RN
721158;Pieyre-Alexandre;Anglade;Français établis hors de France;Français établis hors de France;4;Agent contractuel au Parlement européen;Renaissance;RE
794946;Antoine;Villedieu;Bourgogne-Franche-Comté;Haute-Saône;1;Policier;Rassemblement National;RN
795958;Benjamin;Haddad;Ile-de-France;Paris;14;Professeur, profession scientifique;Renaissance;RE
719718;Laurence;Maillart-Méhaignerie;Bretagne;Ille-et-Vilaine;2;Chef entreprise;Renaissance;RE
720772;Vincent;Bru;Nouvelle-Aquitaine;Pyrénées-Atlantiques;6;Professeur de faculté;Démocrate (MoDem et Indépendants);Dem
793616;Kévin;Mauvieux;Normandie;Eure;3;Conseiller en assurance;Rassemblement National;RN
795836;Frédéric;Cabrolier;Occitanie;Tarn;1;Conseiller protection sociale (Assurances);Rassemblement National;RN
795200;Alma;Dufour;Normandie;Seine-Maritime;4;Responsable associative;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
719578;Loïc;Prud'homme;Nouvelle-Aquitaine;Gironde;3;Fonctionnaire de catégorie B;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
794450;Emmanuel;Lacresse;Grand Est;Meurthe-et-Moselle;2;Cadre de la fonction publique;Renaissance;RE
793876;Laurence;Cristol;Occitanie;Hérault;3;Médecin spécialiste en onco-gériatrie;Renaissance;RE
793444;Manuel;Bompard;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;4;Ingénieur;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
722344;Hubert;Julien-Laferrière;Auvergne-Rhône-Alpes;Rhône;2;Professeur certifié de SES;Non inscrit;NI
793756;François;Piquemal;Occitanie;Haute-Garonne;4;Enseignant;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
793680;Catherine;Couturier;Nouvelle-Aquitaine;Creuse;1;Ancienne profession intermédiaire;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795572;Denis;Bernaert;Ile-de-France;Yvelines;4;;Renaissance;RE
795900;Marine;Hamelet;Occitanie;Tarn-et-Garonne;2;Profession intermédiaire administrative et commerciale des entreprises ;Rassemblement National;RN
335612;Jean-Paul;Lecoq;Normandie;Seine-Maritime;8;Fonctionnaire de catégorie B;Gauche démocrate et républicaine - NUPES;GDR - NUPES
794818;Stéphanie;Kochert;Grand Est;Bas-Rhin;8;Profession intermédiaire de la santé et du travail social;Horizons et apparentés;HOR
793560;Anne-Laure;Babault;Nouvelle-Aquitaine;Charente-Maritime;2;Cadre administratif et commercial d'entreprise;Démocrate (MoDem et Indépendants);Dem
794538;Thibaut;François;Hauts-de-France;Nord;17;Cadre de la fonction publique;Rassemblement National;RN
1206;Nicolas;Dupont-Aignan;Ile-de-France;Essonne;8;Administrateur de l'Etat;Non inscrit;NI
794402;Charlotte;Leduc;Grand Est;Moselle;3;Archéozoologue;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
719550;Liliana;Tanguy;Bretagne;Finistère;7;Cadre supérieur du secteur public;Renaissance;RE
794626;Benjamin;Saint-Huile;Hauts-de-France;Nord;3;Chargé de mission;Libertés, Indépendants, Outre-mer et Territoires;LIOT
796042;Frédéric;Boccaletti;Provence-Alpes-Côte d'Azur;Var;7;;Rassemblement National;RN
722382;Benjamin;Dirx;Bourgogne-Franche-Comté;Saône-et-Loire;1;Industriel-Chef d'entreprise;Renaissance;RE
794354;Hélène;Laporte;Nouvelle-Aquitaine;Lot-et-Garonne;2;Analyste bancaire;Rassemblement National;RN
795974;Philippe;Lottiaux;Provence-Alpes-Côte d'Azur;Var;4;Cadre de la fonction publique;Rassemblement National;RN
795516;Maxime;Laisney;Ile-de-France;Seine-et-Marne;10;Professeur des écoles, instituteur et assimilé;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
794878;Benoit;Mournet;Occitanie;Hautes-Pyrénées;2;Cadre de la fonction publique;Renaissance;RE
793632;Timothée;Houssin;Normandie;Eure;5;Cadre ;Rassemblement National;RN
721584;Jean;Terlier;Occitanie;Tarn;3;Avocat;Renaissance;RE
720644;Jérôme;Nury;Normandie;Orne;3;Cadre de la fonction publique;Les Républicains;LR
720480;Charlotte;Parmentier-Lecocq;Hauts-de-France;Nord;6;Industriel-Chef d'entreprise;Renaissance;RE
793892;Stéphanie;Galzy;Occitanie;Hérault;5;Employé administratif d'entreprise;Rassemblement National;RN
720704;Laurence;Vichnievsky;Auvergne-Rhône-Alpes;Puy-de-Dôme;3;Magistrat;Démocrate (MoDem et Indépendants);Dem
340643;Lionel;Royer-Perreaut;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;6;Cadre;Renaissance;RE
795644;Nathalie;Da Conceicao Carvalho;Ile-de-France;Essonne;2;Profession libérale;Rassemblement National;RN
721328;Anne;Brugnera;Auvergne-Rhône-Alpes;Rhône;4;Fonctionnaire de catégorie A;Renaissance;RE
793394;Arthur;Delaporte;Normandie;Calvados;2;Professeur, profession scientifique;Socialistes et apparentés;SOC
721908;Yaël;Braun-Pivet;Ile-de-France;Yvelines;5;Avocate;Renaissance;RE
942;Charles;de Courson;Grand Est;Marne;5;Conseiller référendaire honoraire à la Cour des comptes;Libertés, Indépendants, Outre-mer et Territoires;LIOT
793696;Serge;Muller;Nouvelle-Aquitaine;Dordogne;2;Profession intermédiaire de la santé et du travail social ;Rassemblement National;RN
793246;Frédéric;Falcon;Occitanie;Aude;2;Commerçant et assimilé ;Rassemblement National;RN
795912;Laure;Lavalette;Provence-Alpes-Côte d'Azur;Var;2;;Rassemblement National;RN
643184;Brigitte;Klinkert;Grand Est;Haut-Rhin;1;Ancien cadre;Renaissance;RE
719108;Raphaël;Gérard;Nouvelle-Aquitaine;Charente-Maritime;4;Cadre supérieur (secteur privé);Renaissance;RE
720468;Sébastien;Chenu;Hauts-de-France;Nord;19;Conseiller en communication;Rassemblement National;RN
719910;Mounir;Belhamiti;Pays de la Loire;Loire-Atlantique;1;Ingénieur en informatique – Directeur de missions ;Renaissance;RE
719202;Didier;Paris;Bourgogne-Franche-Comté;Côte-d'Or;5;Cadre supérieur (secteur privé) ;Renaissance;RE
720960;Olivier;Serva;Guadeloupe;Guadeloupe;1;Expert comptable;Libertés, Indépendants, Outre-mer et Territoires;LIOT
794410;Vincent;Seitlinger;Grand Est;Moselle;5;Notaire;Les Républicains;LR
794638;Victor;Catteau;Hauts-de-France;Nord;5;Juriste;Rassemblement National;RN
793398;Jérémie;Patrier-Leitus;Normandie;Calvados;3;Cadre de la fonction publique;Horizons et apparentés;HOR
607553;Dominique;Potier;Grand Est;Meurthe-et-Moselle;5;Agriculteur;Socialistes et apparentés;SOC
718784;Éric;Pauget;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;7;Autre cadre (secteur privé);Les Républicains;LR
721608;Jean-Louis;Bourlanges;Ile-de-France;Hauts-de-Seine;12;Retraité de la fonction publique;Démocrate (MoDem et Indépendants);Dem
717161;Élisabeth;Borne;Normandie;Calvados;6;Ingénieur et cadre technique d'entreprise;Renaissance;RE
795528;Charles;Rodwell;Ile-de-France;Yvelines;1;Cadre de la fonction publique;Renaissance;RE
720146;Denis;Masséglia;Pays de la Loire;Maine-et-Loire;5;Ingénieur Arts et métiers;Renaissance;RE
794894;Anaïs;Sabatini;Occitanie;Pyrénées-Orientales;2;Avocate;Rassemblement National;RN
642788;Olivier;Véran;Auvergne-Rhône-Alpes;Isère;1;Médecin neurologue hospitalier;Renaissance;RE
795466;Ersilia;Soudais;Ile-de-France;Seine-et-Marne;7;Professeur, profession scientifique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
719922;Lionel;Causse;Nouvelle-Aquitaine;Landes;2;Autre cadre (secteur privé);Renaissance;RE
330008;Xavier;Breton;Auvergne-Rhône-Alpes;Ain;1;Cadre territorial;Les Républicains;LR
795778;Jean-Philippe;Tanguy;Hauts-de-France;Somme;4;Cadre administratif et commercial d'entreprise;Rassemblement National;RN
794478;David;Guiraud;Hauts-de-France;Nord;8;Cadre administratif d'entreprise;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
721150;Alexandre;Holroyd;Français établis hors de France;Français établis hors de France;3;Cadre;Renaissance;RE
267306;André;Chassaigne;Auvergne-Rhône-Alpes;Puy-de-Dôme;5;Retraité de l'éducation nationale;Gauche démocrate et républicaine - NUPES;GDR - NUPES
719052;Loïc;Kervran;Centre-Val de Loire;Cher;3;Autre cadre (secteur privé);Horizons et apparentés;HOR
795326;Christopher;Weissberg;Français établis hors de France;Français établis hors de France;1;Chef d'entreprise;Renaissance;RE
722252;Marie-Pierre;Rixain;Ile-de-France;Essonne;4;Consultante en communication;Renaissance;RE
2960;Éric;Woerth;Hauts-de-France;Oise;4;Associé dans un cabinet d'audit international;Renaissance;RE
342415;Marie-Noëlle;Battistel;Auvergne-Rhône-Alpes;Isère;4;Autre cadre (secteur privé);Socialistes et apparentés;SOC
795580;Florian;Chauche;Bourgogne-Franche-Comté;Territoire de Belfort;2;Fonctionnaire territorial - Agent du service courrier;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
720066;Stéphanie;Rist;Centre-Val de Loire;Loiret;1;Médecin;Renaissance;RE
795136;Jean-François;Coulomme;Auvergne-Rhône-Alpes;Savoie;4;Ingénieur commercial;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
677483;Stéphane;Mazars;Occitanie;Aveyron;1;Avocat;Renaissance;RE
721722;Hadrien;Ghomi;Ile-de-France;Seine-et-Marne;8;Cadre de la fonction publique;Renaissance;RE
718838;Fabrice;Brun;Auvergne-Rhône-Alpes;Ardèche;3;Industriel-Chef d'entreprise;Les Républicains;LR
795406;Isabelle;Périgault;Ile-de-France;Seine-et-Marne;4;Directrice administrative;Les Républicains;LR
794138;Ségolène;Amiot;Pays de la Loire;Loire-Atlantique;3;Employé administratif d'entreprise;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
794650;Jean-Marc;Tellier;Hauts-de-France;Pas-de-Calais;3;Ancien cadre;Gauche démocrate et républicaine - NUPES;GDR - NUPES
794082;Mathilde;Hignet;Bretagne;Ille-et-Vilaine;4;Ouvrière agricole;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
333421;Bertrand;Pancher;Grand Est;Meuse;1;Directeur du développement;Libertés, Indépendants, Outre-mer et Territoires;LIOT
722202;Sébastien;Jumel;Normandie;Seine-Maritime;6;Cadre de la fonction publique;Gauche démocrate et républicaine - NUPES;GDR - NUPES
719624;Bérangère;Couillard;Nouvelle-Aquitaine;Gironde;7;Autre cadre (secteur privé);Renaissance;RE
793964;Grégoire;de Fournas;Nouvelle-Aquitaine;Gironde;5;Viticulteur;Rassemblement National;RN
267794;Michèle;Tabarot;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;9;Chef d'entreprise;Les Républicains;LR
795540;Daniel;Grenon;Bourgogne-Franche-Comté;Yonne;1;Ancien artisan, commerçant, chef d'entreprise;Rassemblement National;RN
793194;Lionel;Vuibert;Grand Est;Ardennes;1;Cadre d'entreprise de 10 salariés ou plus;Renaissance;RE
796118;Bénédicte;Auzanot;Provence-Alpes-Côte d'Azur;Vaucluse;2;;Rassemblement National;RN
331835;Monique;Iborra;Occitanie;Haute-Garonne;6;Retraitée de la Fonction publique;Renaissance;RE
718674;Olga;Givernet;Auvergne-Rhône-Alpes;Ain;3;Ingénieure aéronautique;Renaissance;RE
721530;Aude;Luquet;Ile-de-France;Seine-et-Marne;1;Autre profession;Démocrate (MoDem et Indépendants);Dem
719756;Christine;Le Nabour;Bretagne;Ille-et-Vilaine;5;Employée (secteur privé);Renaissance;RE
795278;Béatrice;Bellamy;Pays de la Loire;Vendée;2;Cadre administratif et commercial d'entreprise;Horizons et apparentés;HOR
794030;Alexis;Jolly;Auvergne-Rhône-Alpes;Isère;6;Commerçant et assimilé;Rassemblement National;RN
795596;Paul;Vannier;Ile-de-France;Val-d'Oise;5;Professeur d'histoire-géographie;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795144;Antoine;Armand;Auvergne-Rhône-Alpes;Haute-Savoie;2;Cadre de la fonction publique;Renaissance;RE
795076;Sandrine;Rousseau;Ile-de-France;Paris;9;Professeur, profession scientifique;Écologiste - NUPES;Ecolo - NUPES
793832;Yoann;Gillet;Occitanie;Gard;1;Cadre de la fonction publique;Rassemblement National;RN
721202;Éric;Coquerel;Ile-de-France;Seine-Saint-Denis;1;Industriel-Chef d'entreprise;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795410;Béatrice;Roullaud;Ile-de-France;Seine-et-Marne;6;Profession libérale;Rassemblement National;RN
722398;Rémy;Rebeyrotte;Bourgogne-Franche-Comté;Saône-et-Loire;3;Professeur d'économie;Renaissance;RE
822617;Martine;Froger;Occitanie;Ariège;1;Chef d'entreprise;Libertés, Indépendants, Outre-mer et Territoires;LIOT
722000;Stéphane;Buchou;Pays de la Loire;Vendée;3;Cadre supérieur (secteur privé);Renaissance;RE
606098;Olivier;Marleix;Centre-Val de Loire;Eure-et-Loir;2;Fonctionnaire de catégorie A;Les Républicains;LR
345722;Constance;Le Grip;Ile-de-France;Hauts-de-Seine;6;Conseillère parlementaire;Renaissance;RE
795216;Jean-François;Lovisolo;Provence-Alpes-Côte d'Azur;Vaucluse;5;Maire;Renaissance;RE
1327;Nicolas;Forissier;Centre-Val de Loire;Indre;2;Chef d'entreprise;Les Républicains;LR
794762;Sandrine;Dogor-Such;Occitanie;Pyrénées-Orientales;3;Préparatrice en pharmacie;Rassemblement National;RN
793904;Aurélien;Lopez-Liguori;Occitanie;Hérault;7;Attaché parlementaire;Rassemblement National;RN
720838;Soumya;Bourouaha;Ile-de-France;Seine-Saint-Denis;4;Professeure;Gauche démocrate et républicaine - NUPES;GDR - NUPES
719968;Sylvie;Bonnet;Auvergne-Rhône-Alpes;Loire;4;Collaboratrice parlementaire;Les Républicains;LR
719190;Philippe;Frei;Bourgogne-Franche-Comté;Côte-d'Or;3;Cadre du secteur privé;Renaissance;RE
608826;Virginie;Duby-Muller;Auvergne-Rhône-Alpes;Haute-Savoie;4;Cadre du secteur privé;Les Républicains;LR
642764;Joël;Aviragnet;Occitanie;Haute-Garonne;8;Directeur d'un établissement pour l'enfance handicapée;Socialistes et apparentés;SOC
605036;Damien;Abad;Auvergne-Rhône-Alpes;Ain;5;Sans profession déclarée;Renaissance;RE
793708;Sébastien;Peytavie;Nouvelle-Aquitaine;Dordogne;4;Profession intermédiaire de la santé et du travail social;Écologiste - NUPES;Ecolo - NUPES
795926;Emmanuel;Pellerin;Ile-de-France;Hauts-de-Seine;9;Profession libérale;Renaissance;RE
719866;Caroline;Abadie;Auvergne-Rhône-Alpes;Isère;8;Industriel-Chef entreprise;Renaissance;RE
794838;Didier;Lemaire;Grand Est;Haut-Rhin;3;Employé civil et agent de service de la fonction publique;Horizons et apparentés;HOR
719118;François;Cormier-Bouligeon;Centre-Val de Loire;Cher;1;Conseiller ministériel;Renaissance;RE
721210;Alexis;Corbière;Ile-de-France;Seine-Saint-Denis;7;Professeur de lycée professionnel;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
720696;Béatrice;Descamps;Hauts-de-France;Nord;21;Enseignant 1er deg.-directeur école;Libertés, Indépendants, Outre-mer et Territoires;LIOT
795722;Karl;Olive;Ile-de-France;Yvelines;12;Chef d'entreprise;Renaissance;RE
794426;Anne;Le Hénanff;Bretagne;Morbihan;1;Consultante indépendante;Horizons et apparentés;HOR
721760;Maud;Gatel;Ile-de-France;Paris;11;Directrice générale adjointe d'une agence de communication;Démocrate (MoDem et Indépendants);Dem
793844;Pascale;Bordes;Occitanie;Gard;3;Profession libérale ;Rassemblement National;RN
719032;Bertrand;Bouyx;Normandie;Calvados;5;Pharmacien;Horizons et apparentés;HOR
